<http://dbpedia.org/resource/Ballintoy>	<http://dbpedia.org/ontology/country>	<http://dbpedia.org/resource/Northern_Ireland>
<http://dbpedia.org/resource/Category:Northern_Ireland_coast>	<http://www.w3.org/2004/02/skos/core#broader>	<http://dbpedia.org/resource/Category:Northern_Ireland_coast_and_countryside>
<http://dbpedia.org/resource/Category:Carrickfergus>	<http://www.w3.org/2004/02/skos/core#broader>	<http://dbpedia.org/resource/Category:Wikipedia_categories_named_after_populated_places_in_Northern_Ireland>
<http://dbpedia.org/resource/Ballygolan>	<http://purl.org/dc/terms/subject>	<http://dbpedia.org/resource/Category:Townlands_of_County_Antrim>
<http://dbpedia.org/resource/Clanvaraghan>	<http://www.w3.org/2000/01/rdf-schema#label>	"Clanvaraghan"@en
<http://dbpedia.org/resource/Ballycor,_County_Antrim>	<http://dbpedia.org/ontology/country>	<http://dbpedia.org/resource/Northern_Ireland>
<http://dbpedia.org/resource/Greyabbey>	<http://dbpedia.org/ontology/abstract>	"Greyabbey or Grey Abbey (Irish: Mainistir Liath, meaning 'grey monastery') is a small village, townland (of 208 acres) and civil parish located on the eastern shores of Strangford Lough, on the Ards Peninsula in County Down, Northern Ireland. It lies 7 miles (11 km) south of Newtownards. Both townland and civil parish are situated in the historic barony of Ards Lower. It is within the Ards and North Down Borough. It had a population of 939 people in the 2011 Census. Greyabbey is often associated with the antiques trade, there being several specialist antique shops in the village, as well as some interesting Georgian and Victorian buildings. Of particular note is Mount Stewart Estate (National Trust) as well as a traditional coaching inn."@en
<http://dbpedia.org/resource/Ballymena_(borough)>	<http://purl.org/dc/terms/subject>	<http://dbpedia.org/resource/Category:Boroughs_of_Northern_Ireland>
<http://dbpedia.org/resource/Category:World_War_II_sites_in_Northern_Ireland>	<http://www.w3.org/2004/02/skos/core#broader>	<http://dbpedia.org/resource/Category:World_War_II_sites_in_the_United_Kingdom>
<http://dbpedia.org/resource/Islandmagee>	<http://purl.org/dc/terms/subject>	<http://dbpedia.org/resource/Category:Civil_parish_of_Island_Magee>
<http://dbpedia.org/resource/Loughmacrory>	<http://purl.org/dc/terms/subject>	<http://dbpedia.org/resource/Category:Civil_parish_of_Termonmaguirk>
<http://dbpedia.org/resource/Derry_City_Council>	<http://purl.org/dc/terms/subject>	<http://dbpedia.org/resource/Category:Derry_and_Strabane_district>
<http://dbpedia.org/resource/Category:The_Troubles_(Northern_Ireland)>	<http://www.w3.org/2004/02/skos/core#broader>	<http://dbpedia.org/resource/Category:Dirty_wars>
<http://dbpedia.org/resource/Farriter>	<http://purl.org/dc/terms/subject>	<http://dbpedia.org/resource/Category:Civil_parish_of_Killeeshil>
<http://dbpedia.org/resource/Moira,_County_Down>	<http://dbpedia.org/ontology/populationTotal>	"4879"^^<http://www.w3.org/2001/XMLSchema#nonNegativeInteger>
<http://dbpedia.org/resource/Category:Villages_in_County_Antrim>	<http://www.w3.org/2004/02/skos/core#broader>	<http://dbpedia.org/resource/Category:Villages_in_Northern_Ireland>
<http://dbpedia.org/resource/Carnalbanagh>	<http://purl.org/dc/terms/subject>	<http://dbpedia.org/resource/Category:Townlands_of_County_Antrim>
<http://dbpedia.org/resource/Ballygawley,_County_Tyrone>	<http://dbpedia.org/ontology/country>	<http://dbpedia.org/resource/Northern_Ireland>
<http://dbpedia.org/resource/Category:The_Troubles_(Northern_Ireland)>	<http://www.w3.org/2004/02/skos/core#broader>	<http://dbpedia.org/resource/Category:Wars_involving_the_United_Kingdom>
<http://dbpedia.org/resource/Kilmore,_County_Armagh>	<http://purl.org/dc/terms/subject>	<http://dbpedia.org/resource/Category:Civil_parishes_of_County_Armagh>
<http://dbpedia.org/resource/Category:Politics_of_Derry_(city)>	<http://www.w3.org/2004/02/skos/core#broader>	<http://dbpedia.org/resource/Category:Derry_(city)>
<http://dbpedia.org/resource/Lisnarick,_County_Fermanagh>	<http://dbpedia.org/ontology/populationTotal>	"203"^^<http://www.w3.org/2001/XMLSchema#nonNegativeInteger>
<http://dbpedia.org/resource/Ballycam>	<http://dbpedia.org/ontology/country>	<http://dbpedia.org/resource/Northern_Ireland>
<http://dbpedia.org/resource/White_Mountain,_County_Antrim>	<http://purl.org/dc/terms/subject>	<http://dbpedia.org/resource/Category:Civil_parish_of_Derriaghy>
<http://dbpedia.org/resource/Killeaton>	<http://dbpedia.org/ontology/abstract>	"Killeaton (from Irish Coill Eatain, meaning 'Eaton's wood') is a townland of 238 acres in County Antrim, Northern Ireland, close to Belfast. It is situated in the civil parish of Derriaghy and the historic Barony of Belfast Upper. The Killeaton housing estate was built in the 1950s by Messrs. J. F. McCall & Sons. Although in more recent years new houses have been built in the area, such as Queensway Park, Killeaton Place and the Rose Gardens. In June 2012, severe flooding following torrential rain, left 80 homes under 4 ft of water in Killeaton and residents having to be rescued by boat. Killeaton is also adjacent to Dunmurry Industrial Estate, the location of the DeLorean Motor Company factory, where the DeLorean was manufactured from 1981 until production ended in 1982. It was famously featured in the Back to the Future movie trilogy."@en
<http://dbpedia.org/resource/Category:Civil_parish_of_Maghera,_County_Down>	<http://www.w3.org/2004/02/skos/core#broader>	<http://dbpedia.org/resource/Category:Barony_of_Iveagh_Upper,_Lower_Half>
<http://dbpedia.org/resource/Rosslea>	<http://dbpedia.org/ontology/abstract>	"Rosslea, locally Roslea (from Irish Ros Liath, meaning 'grey wood or wooded height'), is a small village in County Fermanagh, Northern Ireland, near the border with County Monaghan in the Republic of Ireland. It stands on the Finn River, amid a number of small natural lakes. Spring Grove Forest, also known as Roslea Forest, is nearby. In the 2021 Census, the village had a population of 482 people."@en
<http://dbpedia.org/resource/Down_District_Council>	<http://dbpedia.org/ontology/country>	<http://dbpedia.org/resource/Northern_Ireland>
<http://dbpedia.org/resource/Ballyboley,_County_Down>	<http://dbpedia.org/ontology/abstract>	"Ballyboley (from Irish Baile na Buaile, meaning 'townland of the summer pasturage') is a townland of 783 acres in County Down, Northern Ireland, near Carrowdore on the Ards Peninsula. It is situated in the civil parish of Greyabbey and the historic barony of Ards Lower."@en
<http://dbpedia.org/resource/Macosquin>	<http://purl.org/dc/terms/subject>	<http://dbpedia.org/resource/Category:Causeway_Coast_and_Glens_district>
<http://dbpedia.org/resource/Category:Portadown>	<http://www.w3.org/2004/02/skos/core#broader>	<http://dbpedia.org/resource/Category:Towns_in_County_Armagh>
<http://dbpedia.org/resource/Ardilea>	<http://www.w3.org/2000/01/rdf-schema#label>	"Ardilea"@en
<http://dbpedia.org/resource/Longfield_West>	<http://dbpedia.org/ontology/abstract>	"Longfield West is a civil parish in County Tyrone, Northern Ireland. It is situated in the historic barony of Omagh West."@en
<http://dbpedia.org/resource/Ballerin>	<http://www.w3.org/2000/01/rdf-schema#label>	"Ballerin"@en
<http://dbpedia.org/resource/Eagle_Island,_County_Fermanagh>	<http://dbpedia.org/ontology/abstract>	"Eagle island is a townland of one acre in County Fermanagh, Northern Ireland. It is situated in the civil parish of Belleek and the historic barony of Lurg."@en
<http://dbpedia.org/resource/Draperstown>	<http://dbpedia.org/ontology/country>	<http://dbpedia.org/resource/Northern_Ireland>
